YEAR,POPULATION,COUNT,AGE_ADJUSTED_RATE,AREA
1999,4430141,19293.0,425.2,Alabama
2000,4452173,19854.0,432.9,Alabama
2001,4467634,21083.0,454.6,Alabama
2002,4480089,21413.0,456.0,Alabama
2003,4503491,20811.0,437.4,Alabama
2004,4530729,22260.0,460.8,Alabama
2005,4565917,22684.0,462.0,Alabama
2006,4628981,23381.0,465.3,Alabama
2007,4672840,24232.0,473.7,Alabama
2008,4718206,25352.0,485.7,Alabama
2009,4757938,25334.0,477.7,Alabama
2010,4785492,25356.0,467.6,Alabama
2011,4799918,25262.0,459.0,Alabama
2012,4815960,25488.0,455.6,Alabama
2013,4829479,25618.0,449.3,Alabama
2014,4843214,25553.0,441.1,Alabama
2015,4853875,26443.0,449.1,Alabama
1999,624779,1966.0,505.9,Alaska
2000,627963,2053.0,514.9,Alaska
2001,633714,2187.0,516.4,Alaska
2002,642337,2239.0,502.9,Alaska
2003,648414,2266.0,494.5,Alaska
2004,659286,2436.0,512.8,Alaska
2005,666946,2375.0,481.7,Alaska
2006,675302,2509.0,488.8,Alaska
2007,680300,2523.0,473.3,Alaska
2008,687455,2682.0,481.9,Alaska
2009,698895,2678.0,465.5,Alaska
2010,714031,2795.0,466.6,Alaska
2011,722713,2729.0,439.7,Alaska
2012,731089,2664.0,411.3,Alaska
2013,736879,2678.0,411.5,Alaska
2014,736705,2714.0,410.9,Alaska
2015,737709,2743.0,397.3,Alaska
1999,5023823,21247.0,422.5,Arizona
2000,5160586,22034.0,427.2,Arizona
2001,5273477,23228.0,438.5,Arizona
2002,5396255,23439.0,430.5,Arizona
2003,5510364,23861.0,425.6,Arizona
2004,5652404,24409.0,421.7,Arizona
2005,5839077,25139.0,417.1,Arizona
2006,6029141,26299.0,421.3,Arizona
2007,6167681,27343.0,424.2,Arizona
2008,6280362,27300.0,413.4,Arizona
2009,6343154,28658.0,421.0,Arizona
2010,6408312,28287.0,404.3,Arizona
