YEAR,POPULATION,COUNT,AGE_ADJUSTED_RATE
1999,272809488,1290283.0,481.0
2000,275879626,1316928.0,483.3
2001,282115961,1357552.0,484.5
2002,284766512,1373684.0,481.8
2003,290107933,1385384.0,472.7
2004,292805298,1406219.0,471.7
2005,295516599,1432655.0,471.8
2006,298379912,1467268.0,474.4
2007,301231207,1510717.0,478.3
2008,304093966,1529526.0,474.1
2009,306771529,1546769.0,469.7
2010,309348193,1540552.0,458.3
2011,311663358,1570396.0,457.8
2012,313998379,1559679.0,444.9
2013,316204908,1580148.0,441.4
2014,318563456,1597271.0,436.8
2015,320896618,1610533.0,431.4
