YEAR,POPULATION,COUNT,AGE_ADJUSTED_RATE,AREA
1999,4430141,9506.0,210.8,Alabama
2000,4452173,9807.0,214.7,Alabama
2001,4467634,9801.0,212.8,Alabama
2002,4480089,9698.0,208.4,Alabama
2003,4503491,9812.0,208.3,Alabama
2004,4530729,9756.0,204.6,Alabama
2005,4565917,9913.0,204.7,Alabama
2006,4628981,9899.0,199.8,Alabama
2007,4672840,10025.0,198.5,Alabama
2008,4718206,10182.0,197.3,Alabama
2009,4757938,10289.0,196.3,Alabama
2010,4785492,10196.0,190.7,Alabama
2011,4799918,10233.0,187.4,Alabama
2012,4815960,10274.0,184.8,Alabama
2013,4829479,10328.0,182.2,Alabama
2014,4843214,10286.0,177.6,Alabama
2015,4853875,10354.0,175.4,Alabama
1999,624779,633.0,193.8,Alaska
2000,627963,704.0,208.8,Alaska
2001,633714,689.0,196.7,Alaska
2002,642337,715.0,192.3,Alaska
2003,648414,735.0,190.2,Alaska
2004,659286,728.0,185.9,Alaska
2005,666946,732.0,173.3,Alaska
2006,675302,790.0,179.7,Alaska
2007,680300,839.0,185.2,Alaska
2008,687455,867.0,183.2,Alaska
2009,698895,895.0,186.5,Alaska
2010,714031,884.0,178.3,Alaska
2011,722713,935.0,176.4,Alaska
2012,731089,925.0,168.9,Alaska
2013,736879,1016.0,172.7,Alaska
2014,736705,972.0,165.1,Alaska
2015,737709,978.0,161.1,Alaska
1999,5023823,9006.0,179.8,Arizona
2000,5160586,9073.0,176.6,Arizona
2001,5273477,9142.0,173.6,Arizona
2002,5396255,9359.0,173.1,Arizona
2003,5510364,9625.0,172.9,Arizona
2004,5652404,9618.0,167.4,Arizona
2005,5839077,9820.0,164.2,Arizona
2006,6029141,9918.0,160.0,Arizona
2007,6167681,10133.0,158.8,Arizona
2008,6280362,10081.0,153.2,Arizona
2009,6343154,10271.0,152.0,Arizona
2010,6408312,10678.0,152.6,Arizona
2011,6467163,10690.0,148.4,Arizona
2012,6549634,11085.0,148.2,Arizona
2013,6624617,11347.0,146.7,Arizona
2014,6719993,11455.0,142.5,Arizona
2015,6817565,11776.0,141.1,Arizona
1999,2651860,6137.0,213.9,Arkansas
2000,2678588,6090.0,209.6,Arkansas
2001,2691571,6091.0,208.6,Arkansas
2002,2705927,6282.0,212.7,Arkansas
2003,2724816,6119.0,205.0,Arkansas
2004,2749686,6304.0,208.3,Arkansas
2005,2781097,6361.0,207.5,Arkansas
2006,2821761,6177.0,196.6,Arkansas
2007,2848650,6388.0,201.0,Arkansas
2008,2874554,6526.0,201.1,Arkansas
2009,2896843,6513.0,198.0,Arkansas
2010,2921995,6475.0,193.7,Arkansas
2011,2939493,6497.0,191.2,Arkansas
2012,2950685,6540.0,188.6,Arkansas
2013,2958663,6688.0,189.8,Arkansas
2014,2966912,6546.0,182.9,Arkansas
2015,2977853,6727.0,185.5,Arkansas
1999,33499204,53064.0,185.1,California
2000,33987977,53155.0,181.5,California
2001,34479458,53923.0,180.4,California
2002,34871843,54143.0,177.5,California
2003,35253159,54319.0,174.2,California
2004,35574576,53700.0,169.4,California
2005,35827943,54729.0,169.2,California
2006,36021202,54140.0,164.8,California
2007,36250311,55011.0,163.9,California
2008,36604337,54686.0,158.9,California
2009,36961229,55990.0,158.8,California
2010,37332685,56453.0,155.8,California
2011,37676861,56448.0,151.9,California
2012,38011074,57675.0,150.9,California
2013,38335203,57714.0,147.1,California
2014,38680810,58410.0,144.7,California
2015,38993940,59629.0,143.5,California
1999,4226018,5862.0,171.8,Colorado
2000,4326921,5922.0,169.4,Colorado
2001,4425687,6145.0,171.4,Colorado
2002,4490406,6384.0,174.2,Colorado
2003,4528732,6417.0,170.1,Colorado
2004,4575013,6196.0,159.9,Colorado
2005,4631888,6395.0,160.5,Colorado
2006,4720423,6550.0,158.4,Colorado
2007,4803868,6617.0,154.7,Colorado
2008,4889730,6719.0,151.2,Colorado
2009,4972195,6950.0,151.9,Colorado
2010,5048644,7035.0,148.8,Colorado
2011,5118360,7051.0,144.3,Colorado
2012,5189867,7306.0,143.8,Colorado
2013,5267603,7357.0,139.4,Colorado
2014,5349648,7405.0,136.5,Colorado
2015,5448819,7604.0,134.9,Colorado
1999,3386401,7054.0,190.6,Connecticut
2000,3411777,7065.0,188.6,Connecticut
2001,3432835,7093.0,187.1,Connecticut
2002,3458749,7163.0,186.1,Connecticut
2003,3484336,7130.0,182.8,Connecticut
2004,3496094,7174.0,182.0,Connecticut
2005,3506956,7052.0,176.7,Connecticut
2006,3517460,7044.0,175.3,Connecticut
2007,3527270,6827.0,167.0,Connecticut
2008,3545579,6830.0,164.7,Connecticut
2009,3561807,6819.0,162.8,Connecticut
2010,3579899,6954.0,162.4,Connecticut
2011,3589893,6837.0,158.1,Connecticut
2012,3593795,6681.0,152.0,Connecticut
2013,3596003,6619.0,147.9,Connecticut
2014,3591873,6621.0,146.7,Connecticut
2015,3584730,6666.0,146.2,Connecticut
1999,774990,1737.0,223.5,Delaware
2000,786373,1609.0,202.2,Delaware
2001,795699,1786.0,220.9,Delaware
2002,806169,1621.0,194.8,Delaware
2003,818003,1719.0,201.5,Delaware
2004,830803,1827.0,208.0,Delaware
2005,845150,1799.0,199.1,Delaware
2006,859268,1780.0,190.6,Delaware
2007,871749,1852.0,193.3,Delaware
2008,883874,1912.0,192.7,Delaware
2009,891730,1813.0,178.0,Delaware
2010,899816,1909.0,184.4,Delaware
2011,907924,1905.0,179.7,Delaware
2012,916993,1935.0,176.1,Delaware
2013,925395,1905.0,167.2,Delaware
2014,934948,1972.0,167.0,Delaware
2015,944076,2010.0,166.1,Delaware
1999,570213,1340.0,241.5,District of Columbia
2000,572046,1335.0,238.4,District of Columbia
2001,574504,1327.0,237.5,District of Columbia
2002,573158,1296.0,231.8,District of Columbia
2003,568502,1122.0,200.7,District of Columbia
2004,567754,1152.0,206.2,District of Columbia
2005,567136,1150.0,206.2,District of Columbia
2006,570681,1178.0,210.8,District of Columbia
2007,574404,1169.0,208.8,District of Columbia
2008,580236,1143.0,201.8,District of Columbia
2009,592228,1131.0,196.9,District of Columbia
2010,605183,1041.0,178.4,District of Columbia
2011,620477,1070.0,180.8,District of Columbia
2012,635327,1081.0,178.4,District of Columbia
2013,649165,1095.0,177.8,District of Columbia
2014,659005,1116.0,179.3,District of Columbia
2015,670377,1072.0,167.7,District of Columbia
1999,15759421,38477.0,189.9,Florida
2000,16047515,39183.0,190.1,Florida
