Data Type,Year,Rate
U.S. Mortality,1992.0,213.4576
U.S. Mortality,1993.0,213.4463
U.S. Mortality,1994.0,211.7413
U.S. Mortality,1995.0,209.8861
U.S. Mortality,1996.0,206.9976
U.S. Mortality,1997.0,203.5534
U.S. Mortality,1998.0,200.8236
U.S. Mortality,1999.0,200.7218
U.S. Mortality,2000.0,198.7863
U.S. Mortality,2001.0,196.2889
U.S. Mortality,2002.0,194.3559
U.S. Mortality,2003.0,190.888
U.S. Mortality,2004.0,186.84099999999998
U.S. Mortality,2005.0,185.2295
U.S. Mortality,2006.0,182.0292
U.S. Mortality,2007.0,179.2593
U.S. Mortality,2008.0,176.3174
U.S. Mortality,2009.0,173.3954
U.S. Mortality,2010.0,171.7438
U.S. Mortality,2011.0,168.7411
U.S. Mortality,2012.0,166.3355
U.S. Mortality,2013.0,163.1913
U.S. Mortality,2014.0,161.2958
U.S. Mortality,2015.0,158.6808
