Edition,Measure Name,State Name,Rank,Value
1999,Diabetes,California,28.0,5.5
1999,Diabetes,United States,,5.4
1999,Diabetes,Washington,21.0,4.9
1999,Diabetes,Arizona,1.0,2.8
1999,Diabetes,North Carolina,44.0,6.4
1999,Diabetes,Georgia,36.0,5.9
1999,Diabetes,Utah,12.0,4.4
1999,Diabetes,New Jersey,26.0,5.4
1999,Diabetes,Connecticut,17.0,4.5
1999,Diabetes,Maryland,26.0,5.4
1999,Diabetes,Arkansas,46.0,6.7
1999,Diabetes,Mississippi,49.0,7.6
1999,Diabetes,Illinois,41.0,6.2
1999,Diabetes,West Virginia,42.0,6.3
1999,Diabetes,Delaware,12.0,4.4
1999,Diabetes,Colorado,19.0,4.6
1999,Diabetes,Maine,4.0,3.6
1999,Diabetes,Nebraska,23.0,5.2
1999,Diabetes,Wisconsin,12.0,4.4
1999,Diabetes,Massachusetts,7.0,3.9
1999,Diabetes,Iowa,23.0,5.2
1999,Diabetes,Alaska,2.0,3.0
1999,Diabetes,Hawaii,30.0,5.6
1999,Diabetes,Indiana,38.0,6.0
1999,Diabetes,Texas,28.0,5.5
1999,Diabetes,District of Columbia,,7.1
1999,Diabetes,Oregon,25.0,5.3
1999,Diabetes,Vermont,12.0,4.4
1999,Diabetes,Oklahoma,50.0,7.8
1999,Diabetes,North Dakota,10.0,4.2
1999,Diabetes,Virginia,17.0,4.5
1999,Diabetes,Rhode Island,38.0,6.0
1999,Diabetes,Wyoming,6.0,3.7
1999,Diabetes,Minnesota,20.0,4.7
1999,Diabetes,Florida,42.0,6.3
1999,Diabetes,Nevada,12.0,4.4
1999,Diabetes,South Carolina,33.0,5.7
1999,Diabetes,Tennessee,36.0,5.9
1999,Diabetes,Kansas,9.0,4.0
1999,Diabetes,Alabama,47.0,7.0
1999,Diabetes,New Hampshire,7.0,3.9
1999,Diabetes,New York,38.0,6.0
1999,Diabetes,South Dakota,3.0,3.1
1999,Diabetes,New Mexico,22.0,5.0
1999,Diabetes,Missouri,33.0,5.7
1999,Diabetes,Idaho,11.0,4.3
1999,Diabetes,Pennsylvania,30.0,5.6
1999,Diabetes,Ohio,35.0,5.8
1999,Diabetes,Michigan,47.0,7.0
1999,Diabetes,Kentucky,30.0,5.6
1999,Diabetes,Montana,4.0,3.6
1999,Diabetes,Louisiana,44.0,6.4
1999,Income Inequity,Alabama,20.0,0.439
1999,Income Inequity,Alaska,16.0,0.431
1999,Income Inequity,Arizona,38.0,0.462
