Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2012,2012 Annual,Air Pollution,Alabama,41.0,11.0,0.25,,,AHR data,
2012,2012 Annual,Air Pollution,Alaska,3.0,6.0,-2.0,,,AHR data,
2012,2012 Annual,Air Pollution,Arizona,25.0,9.4,-0.56,,,AHR data,
2012,2012 Annual,Air Pollution,Arkansas,39.0,10.8,0.15,,,AHR data,
2012,2012 Annual,Air Pollution,California,50.0,15.3,2.0,,,AHR data,
2012,2012 Annual,Air Pollution,Colorado,5.0,6.7,-1.92,,,AHR data,
2012,2012 Annual,Air Pollution,Connecticut,23.0,9.3,-0.61,,,AHR data,
2012,2012 Annual,Air Pollution,Delaware,41.0,11.0,0.25,,,AHR data,
2012,2012 Annual,Air Pollution,Florida,10.0,7.6,-1.47,,,AHR data,
2012,2012 Annual,Air Pollution,Georgia,45.0,11.5,0.51,,,AHR data,
2012,2012 Annual,Air Pollution,Hawaii,19.0,8.9,-0.81,,,AHR data,
2012,2012 Annual,Air Pollution,Idaho,18.0,8.7,-0.91,,,AHR data,
2012,2012 Annual,Air Pollution,Illinois,46.0,11.7,0.61,,,AHR data,
2012,2012 Annual,Air Pollution,Indiana,49.0,13.1,1.32,,,AHR data,
2012,2012 Annual,Air Pollution,Iowa,34.0,10.1,-0.2,,,AHR data,
2012,2012 Annual,Air Pollution,Kansas,20.0,9.1,-0.71,,,AHR data,
2012,2012 Annual,Air Pollution,Kentucky,44.0,11.4,0.46,,,AHR data,
2012,2012 Annual,Air Pollution,Louisiana,26.0,9.5,-0.51,,,AHR data,
2012,2012 Annual,Air Pollution,Maine,12.0,7.8,-1.37,,,AHR data,
2012,2012 Annual,Air Pollution,Maryland,40.0,10.9,0.2,,,AHR data,
2012,2012 Annual,Air Pollution,Massachusetts,15.0,8.4,-1.06,,,AHR data,
2012,2012 Annual,Air Pollution,Michigan,26.0,9.5,-0.51,,,AHR data,
2012,2012 Annual,Air Pollution,Minnesota,13.0,8.2,-1.16,,,AHR data,
2012,2012 Annual,Air Pollution,Mississippi,31.0,10.0,-0.25,,,AHR data,
2012,2012 Annual,Air Pollution,Missouri,35.0,10.3,-0.1,,,AHR data,
2012,2012 Annual,Air Pollution,Montana,10.0,7.6,-1.47,,,AHR data,
2012,2012 Annual,Air Pollution,Nebraska,13.0,8.2,-1.16,,,AHR data,
2012,2012 Annual,Air Pollution,Nevada,15.0,8.4,-1.06,,,AHR data,
2012,2012 Annual,Air Pollution,New Hampshire,9.0,7.5,-1.52,,,AHR data,
2012,2012 Annual,Air Pollution,New Jersey,21.0,9.2,-0.66,,,AHR data,
2012,2012 Annual,Air Pollution,New Mexico,4.0,6.1,-2.0,,,AHR data,
2012,2012 Annual,Air Pollution,New York,21.0,9.2,-0.66,,,AHR data,
2012,2012 Annual,Air Pollution,North Carolina,31.0,10.0,-0.25,,,AHR data,
2012,2012 Annual,Air Pollution,North Dakota,2.0,5.6,-2.0,,,AHR data,
2012,2012 Annual,Air Pollution,Ohio,47.0,12.0,0.76,,,AHR data,
2012,2012 Annual,Air Pollution,Oklahoma,29.0,9.9,-0.3,,,AHR data,
2012,2012 Annual,Air Pollution,Oregon,8.0,7.3,-1.62,,,AHR data,
2012,2012 Annual,Air Pollution,Pennsylvania,47.0,12.0,0.76,,,AHR data,
2012,2012 Annual,Air Pollution,Rhode Island,15.0,8.4,-1.06,,,AHR data,
2012,2012 Annual,Air Pollution,South Carolina,38.0,10.5,0.0,,,AHR data,
2012,2012 Annual,Air Pollution,South Dakota,5.0,6.7,-1.92,,,AHR data,
2012,2012 Annual,Air Pollution,Tennessee,37.0,10.4,-0.05,,,AHR data,
2012,2012 Annual,Air Pollution,Texas,35.0,10.3,-0.1,,,AHR data,
2012,2012 Annual,Air Pollution,Utah,29.0,9.9,-0.3,,,AHR data,
2012,2012 Annual,Air Pollution,Vermont,7.0,7.0,-1.77,,,AHR data,
2012,2012 Annual,Air Pollution,Virginia,28.0,9.7,-0.41,,,AHR data,
2012,2012 Annual,Air Pollution,Washington,23.0,9.3,-0.61,,,AHR data,
2012,2012 Annual,Air Pollution,West Virginia,43.0,11.2,0.35,,,AHR data,
2012,2012 Annual,Air Pollution,Wisconsin,31.0,10.0,-0.25,,,AHR data,
2012,2012 Annual,Air Pollution,Wyoming,1.0,5.1,-2.0,,,AHR data,
2012,2012 Annual,Air Pollution,United States,,10.5,,,,AHR data,
2012,2012 Annual,Air Pollution,District of Columbia,,10.9,,,,AHR data,
2012,2012 Annual,All Determinants,Alaska,26.0,0.068,,,,AHR data,
2012,2012 Annual,All Determinants,Alabama,44.0,-0.389,,,,AHR data,
2012,2012 Annual,All Determinants,United States,,,,,,AHR data,
2012,2012 Annual,All Determinants,Arkansas,48.0,-0.586,,,,AHR data,
