state,rate,year,Manufacturing,Finance_Real_Estate
Arkansas,457.5,2001,13903,9880
Arkansas,452.3,2002,14770,10468
Arkansas,466.1,2003,15351,10809
Arkansas,462.9,2004,16722,10752
Arkansas,466.1,2005,17148,11674
Arkansas,461.9,2006,18029,12126
Arkansas,470.3,2007,16328,13336
Arkansas,459.1,2008,15503,13684
Arkansas,457,2009,13971,14065
Arkansas,455.9,2010,15045,15012
Arkansas,447.4,2011,15652,16676
Arkansas,454.6,2012,15241,16221
Arkansas,464,2013,16688,16110
Arkansas,464.7,2014,17560,16835
Arkansas,470.1,2015,18043,17735
