state,rate,year,Manufacturing,Finance_Real_Estate
California,466.3,1999,179326,246178
California,460,2000,207353,263563
California,466.9,2001,179408,281050
California,462.5,2002,162677,306042
California,447.9,2003,177187,330869
California,452.1,2004,182960,352153
California,448.7,2005,208182,390624
California,446.9,2006,221404,410026
California,456.3,2007,231867,421384
California,451.9,2008,247815,412712
California,446.8,2009,229872,410940
California,438.8,2010,222698,416833
California,428.1,2011,219130,433027
California,418,2012,237379,454610
California,410,2013,250194,478325
California,404.5,2014,268660,515317
California,398,2015,282808,545258
