state,category,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,average,percentage
51_Utah,    Utilities,975,973,1074,1069,975,1086,1106,1291,1323,1376,1445,1534,1575,1531,1558,1603,1641,1453,0.015009943
51_Utah,    Construction,3957,4116,4108,4028,4230,4872,5781,7067,8152,7214,5628,5407,5478,6538,7028,8012,8964,6842.636364,0.070686567
51_Utah,    Manufacturing,8451,9295,8306,8504,9357,10030,11009,12726,14137,13750,15976,17485,18412,16183,16491,16551,17538,15478,0.159892565
51_Utah,    Wholesale trade,3620,3813,3793,3768,3911,4362,4925,5484,5952,6250,5904,5984,6213,6489,6885,7155,7635,6261.454545,0.064682777
51_Utah,    Retail trade,5238,5353,5493,5634,6004,6541,6933,7692,8161,7904,7686,7881,8294,9161,9444,9793,10538,8498.818182,0.087795441
51_Utah,    Transportation and warehousing,2626,2711,2630,2681,2811,3153,3507,3786,4023,3877,3656,3928,4134,4340,4548,4742,5215,4159.636364,0.04297034
51_Utah,    Information,3157,2966,2934,3333,3451,3810,4362,4682,4782,5167,4731,4591,4537,4862,5340,5552,6351,4996.090909,0.051611176
51_Utah,"    Finance, insurance, real estate, rental, and leasing",11704,13053,15715,16454,17230,18055,19895,22692,25586,23642,21710,22332,23965,26194,27155,29649,33156,25088.72727,0.259174373
51_Utah,    Professional and business services,6675,7161,7482,7529,7620,7920,8745,9901,10945,11628,11077,11527,12108,13031,14013,15261,16043,12207.18182,0.126103993
51_Utah,"    Educational services, health care, and social assistance",3801,4014,4249,4579,4906,5336,5755,6461,6816,7389,7905,8066,8451,8781,9323,9564,10072,8053,0.08319
51_Utah,"    Arts, entertainment, recreation, accommodation, and food services",2105,2314,2459,2747,2624,2721,2869,3257,3525,3570,3415,3529,3704,3979,4198,4476,4881,3763.909091,0.038882354
50_Colorado,    Utilities,2191,2184,2334,2258,2488,2810,2872,3450,3094,3233,3204,3675,3783,3737,3773,4040,4056,3537.909091,0.017034082
50_Colorado,    Construction,9588,11258,12067,11886,11603,12129,13260,13896,14266,13660,11652,9648,9863,10631,13097,15616,17455,13004,0.062610769
