AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE
Alabama,419.2,431.2,425.2,19293,Incidence,4430141,All Races,Male and Female,All Cancer Sites Combined,1999,429.4,441.7,435.5
Alabama,426.9,439.0,432.9,19854,Incidence,4452173,All Races,Male and Female,All Cancer Sites Combined,2000,439.8,452.2,445.9
Alabama,448.4,460.8,454.6,21083,Incidence,4467634,All Races,Male and Female,All Cancer Sites Combined,2001,465.6,478.3,471.9
Alabama,449.9,462.2,456.0,21413,Incidence,4480089,All Races,Male and Female,All Cancer Sites Combined,2002,471.6,484.4,478.0
Alabama,431.5,443.5,437.4,20811,Incidence,4503491,All Races,Male and Female,All Cancer Sites Combined,2003,455.9,468.4,462.1
Alabama,454.8,467.0,460.8,22260,Incidence,4530729,All Races,Male and Female,All Cancer Sites Combined,2004,484.9,497.8,491.3
Alabama,456.0,468.1,462.0,22684,Incidence,4565917,All Races,Male and Female,All Cancer Sites Combined,2005,490.4,503.3,496.8
Alabama,459.3,471.3,465.3,23381,Incidence,4628981,All Races,Male and Female,All Cancer Sites Combined,2006,498.6,511.6,505.1
Alabama,467.7,479.8,473.7,24232,Incidence,4672840,All Races,Male and Female,All Cancer Sites Combined,2007,512.1,525.1,518.6
Alabama,479.7,491.8,485.7,25352,Incidence,4718206,All Races,Male and Female,All Cancer Sites Combined,2008,530.7,544.0,537.3
Alabama,471.8,483.7,477.7,25334,Incidence,4757938,All Races,Male and Female,All Cancer Sites Combined,2009,525.9,539.1,532.5
Alabama,461.8,473.5,467.6,25356,Incidence,4785492,All Races,Male and Female,All Cancer Sites Combined,2010,523.3,536.4,529.9
Alabama,453.3,464.8,459.0,25262,Incidence,4799918,All Races,Male and Female,All Cancer Sites Combined,2011,519.8,532.8,526.3
Alabama,449.9,461.3,455.6,25488,Incidence,4815960,All Races,Male and Female,All Cancer Sites Combined,2012,522.8,535.8,529.2
Alabama,443.7,455.0,449.3,25618,Incidence,4829479,All Races,Male and Female,All Cancer Sites Combined,2013,524.0,537.0,530.5
Alabama,435.6,446.6,441.1,25553,Incidence,4843214,All Races,Male and Female,All Cancer Sites Combined,2014,521.2,534.1,527.6
Alabama,443.6,454.7,449.1,26443,Incidence,4853875,All Races,Male and Female,All Cancer Sites Combined,2015,538.2,551.4,544.8
Alaska,481.4,531.3,505.9,1966,Incidence,624779,All Races,Male and Female,All Cancer Sites Combined,1999,300.9,328.9,314.7
Alaska,490.6,539.9,514.9,2053,Incidence,627963,All Races,Male and Female,All Cancer Sites Combined,2000,312.9,341.4,326.9
Alaska,493.0,540.7,516.4,2187,Incidence,633714,All Races,Male and Female,All Cancer Sites Combined,2001,330.8,359.9,345.1
Alaska,480.3,526.2,502.9,2239,Incidence,642337,All Races,Male and Female,All Cancer Sites Combined,2002,334.3,363.3,348.6
Alaska,472.4,517.4,494.5,2266,Incidence,648414,All Races,Male and Female,All Cancer Sites Combined,2003,335.2,364.2,349.5
Alaska,490.8,535.5,512.8,2436,Incidence,659286,All Races,Male and Female,All Cancer Sites Combined,2004,355.0,384.5,369.5
Alaska,460.8,503.3,481.7,2375,Incidence,666946,All Races,Male and Female,All Cancer Sites Combined,2005,341.9,370.7,356.1
Alaska,468.0,510.2,488.8,2509,Incidence,675302,All Races,Male and Female,All Cancer Sites Combined,2006,357.1,386.4,371.5
Alaska,453.3,493.9,473.3,2523,Incidence,680300,All Races,Male and Female,All Cancer Sites Combined,2007,356.5,385.6,370.9
Alaska,462.1,502.3,481.9,2682,Incidence,687455,All Races,Male and Female,All Cancer Sites Combined,2008,375.5,405.2,390.1
Alaska,446.3,485.3,465.5,2678,Incidence,698895,All Races,Male and Female,All Cancer Sites Combined,2009,368.8,398.0,383.2
Alaska,447.8,486.0,466.6,2795,Incidence,714031,All Races,Male and Female,All Cancer Sites Combined,2010,377.1,406.2,391.4
Alaska,421.9,458.1,439.7,2729,Incidence,722713,All Races,Male and Female,All Cancer Sites Combined,2011,363.6,392.0,377.6
Alaska,394.5,428.6,411.3,2664,Incidence,731089,All Races,Male and Female,All Cancer Sites Combined,2012,350.7,378.5,364.4
Alaska,394.8,428.7,411.5,2678,Incidence,736879,All Races,Male and Female,All Cancer Sites Combined,2013,349.8,377.5,363.4
Alaska,394.3,428.0,410.9,2714,Incidence,736705,All Races,Male and Female,All Cancer Sites Combined,2014,354.7,382.5,368.4
Alaska,381.5,413.6,397.3,2743,Incidence,737709,All Races,Male and Female,All Cancer Sites Combined,2015,358.0,386.0,371.8
Arizona,416.9,428.3,422.5,21247,Incidence,5023823,All Races,Male and Female,All Cancer Sites Combined,1999,417.3,428.7,422.9
Arizona,421.6,432.9,427.2,22034,Incidence,5160586,All Races,Male and Female,All Cancer Sites Combined,2000,421.3,432.6,427.0
Arizona,432.9,444.2,438.5,23228,Incidence,5273477,All Races,Male and Female,All Cancer Sites Combined,2001,434.8,446.2,440.5
Arizona,425.0,436.1,430.5,23439,Incidence,5396255,All Races,Male and Female,All Cancer Sites Combined,2002,428.8,440.0,434.4
Arizona,420.2,431.1,425.6,23861,Incidence,5510364,All Races,Male and Female,All Cancer Sites Combined,2003,427.5,438.6,433.0
Arizona,416.4,427.1,421.7,24409,Incidence,5652404,All Races,Male and Female,All Cancer Sites Combined,2004,426.4,437.3,431.8
Arizona,411.9,422.3,417.1,25139,Incidence,5839077,All Races,Male and Female,All Cancer Sites Combined,2005,425.2,435.9,430.5
Arizona,416.2,426.5,421.3,26299,Incidence,6029141,All Races,Male and Female,All Cancer Sites Combined,2006,430.9,441.5,436.2
Arizona,419.1,429.3,424.2,27343,Incidence,6167681,All Races,Male and Female,All Cancer Sites Combined,2007,438.1,448.6,443.3
Arizona,408.5,418.4,413.4,27300,Incidence,6280362,All Races,Male and Female,All Cancer Sites Combined,2008,429.5,439.9,434.7
Arizona,416.1,425.9,421.0,28658,Incidence,6343154,All Races,Male and Female,All Cancer Sites Combined,2009,446.6,457.1,451.8
Arizona,399.6,409.1,404.3,28287,Incidence,6408312,All Races,Male and Female,All Cancer Sites Combined,2010,436.3,446.6,441.4
Arizona,401.6,411.1,406.3,29187,Incidence,6467163,All Races,Male and Female,All Cancer Sites Combined,2011,446.1,456.5,451.3
Arizona,385.9,395.1,390.5,28953,Incidence,6549634,All Races,Male and Female,All Cancer Sites Combined,2012,437.0,447.2,442.1
Arizona,379.6,388.5,384.0,29409,Incidence,6624617,All Races,Male and Female,All Cancer Sites Combined,2013,438.9,449.0,443.9
Arizona,382.5,391.3,386.9,30597,Incidence,6719993,All Races,Male and Female,All Cancer Sites Combined,2014,450.2,460.4,455.3
