AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE
Alabama,206.5,215.1,210.8,9506,Mortality,4430141,All Races,Male and Female,All Cancer Sites Combined,1999,210.3,218.9,214.6
Alabama,210.4,219.0,214.7,9807,Mortality,4452173,All Races,Male and Female,All Cancer Sites Combined,2000,215.9,224.7,220.3
Alabama,208.6,217.0,212.8,9801,Mortality,4467634,All Races,Male and Female,All Cancer Sites Combined,2001,215.1,223.8,219.4
Alabama,204.3,212.6,208.4,9698,Mortality,4480089,All Races,Male and Female,All Cancer Sites Combined,2002,212.2,220.8,216.5
Alabama,204.1,212.4,208.3,9812,Mortality,4503491,All Races,Male and Female,All Cancer Sites Combined,2003,213.6,222.2,217.9
Alabama,200.5,208.7,204.6,9756,Mortality,4530729,All Races,Male and Female,All Cancer Sites Combined,2004,211.1,219.6,215.3
Alabama,200.7,208.8,204.7,9913,Mortality,4565917,All Races,Male and Female,All Cancer Sites Combined,2005,212.9,221.4,217.1
Alabama,195.8,203.8,199.8,9899,Mortality,4628981,All Races,Male and Female,All Cancer Sites Combined,2006,209.7,218.1,213.8
Alabama,194.6,202.5,198.5,10025,Mortality,4672840,All Races,Male and Female,All Cancer Sites Combined,2007,210.4,218.8,214.5
Alabama,193.4,201.2,197.3,10182,Mortality,4718206,All Races,Male and Female,All Cancer Sites Combined,2008,211.6,220.0,215.8
Alabama,192.5,200.1,196.3,10289,Mortality,4757938,All Races,Male and Female,All Cancer Sites Combined,2009,212.1,220.5,216.2
Alabama,187.0,194.5,190.7,10196,Mortality,4785492,All Races,Male and Female,All Cancer Sites Combined,2010,208.9,217.2,213.1
Alabama,183.7,191.1,187.4,10233,Mortality,4799918,All Races,Male and Female,All Cancer Sites Combined,2011,209.1,217.4,213.2
Alabama,181.2,188.4,184.8,10274,Mortality,4815960,All Races,Male and Female,All Cancer Sites Combined,2012,209.2,217.5,213.3
Alabama,178.7,185.8,182.2,10328,Mortality,4829479,All Races,Male and Female,All Cancer Sites Combined,2013,209.7,218.0,213.9
Alabama,174.1,181.1,177.6,10286,Mortality,4843214,All Races,Male and Female,All Cancer Sites Combined,2014,208.3,216.5,212.4
Alabama,172.0,178.9,175.4,10354,Mortality,4853875,All Races,Male and Female,All Cancer Sites Combined,2015,209.2,217.5,213.3
Alaska,177.5,211.1,193.8,633,Mortality,624779,All Races,Male and Female,All Cancer Sites Combined,1999,93.6,109.5,101.3
Alaska,192.3,226.2,208.8,704,Mortality,627963,All Races,Male and Female,All Cancer Sites Combined,2000,104.0,120.7,112.1
Alaska,181.0,213.2,196.7,689,Mortality,633714,All Races,Male and Female,All Cancer Sites Combined,2001,100.8,117.2,108.7
Alaska,177.1,208.2,192.3,715,Mortality,642337,All Races,Male and Female,All Cancer Sites Combined,2002,103.3,119.8,111.3
Alaska,175.5,205.7,190.2,735,Mortality,648414,All Races,Male and Female,All Cancer Sites Combined,2003,105.3,121.9,113.4
Alaska,171.5,201.0,185.9,728,Mortality,659286,All Races,Male and Female,All Cancer Sites Combined,2004,102.5,118.7,110.4
Alaska,159.8,187.4,173.3,732,Mortality,666946,All Races,Male and Female,All Cancer Sites Combined,2005,101.9,118.0,109.8
Alaska,166.3,193.7,179.7,790,Mortality,675302,All Races,Male and Female,All Cancer Sites Combined,2006,109.0,125.4,117.0
Alaska,171.8,199.4,185.2,839,Mortality,680300,All Races,Male and Female,All Cancer Sites Combined,2007,115.1,132.0,123.3
Alaska,170.1,196.9,183.2,867,Mortality,687455,All Races,Male and Female,All Cancer Sites Combined,2008,117.9,134.8,126.1
Alaska,173.4,200.2,186.5,895,Mortality,698895,All Races,Male and Female,All Cancer Sites Combined,2009,119.8,136.7,128.1
Alaska,165.8,191.5,178.3,884,Mortality,714031,All Races,Male and Female,All Cancer Sites Combined,2010,115.8,132.2,123.8
Alaska,164.3,189.1,176.4,935,Mortality,722713,All Races,Male and Female,All Cancer Sites Combined,2011,121.2,137.9,129.4
Alaska,157.3,181.1,168.9,925,Mortality,731089,All Races,Male and Female,All Cancer Sites Combined,2012,118.5,134.9,126.5
Alaska,161.4,184.7,172.7,1016,Mortality,736879,All Races,Male and Female,All Cancer Sites Combined,2013,129.5,146.6,137.9
Alaska,154.0,176.7,165.1,972,Mortality,736705,All Races,Male and Female,All Cancer Sites Combined,2014,123.8,140.5,131.9
Alaska,150.4,172.4,161.1,978,Mortality,737709,All Races,Male and Female,All Cancer Sites Combined,2015,124.4,141.1,132.6
Arizona,176.1,183.6,179.8,9006,Mortality,5023823,All Races,Male and Female,All Cancer Sites Combined,1999,175.6,183.0,179.3
Arizona,173.0,180.3,176.6,9073,Mortality,5160586,All Races,Male and Female,All Cancer Sites Combined,2000,172.2,179.5,175.8
Arizona,170.1,177.2,173.6,9142,Mortality,5273477,All Races,Male and Female,All Cancer Sites Combined,2001,169.8,176.9,173.4
Arizona,169.6,176.6,173.1,9359,Mortality,5396255,All Races,Male and Female,All Cancer Sites Combined,2002,169.9,177.0,173.4
Arizona,169.5,176.4,172.9,9625,Mortality,5510364,All Races,Male and Female,All Cancer Sites Combined,2003,171.2,178.2,174.7
Arizona,164.0,170.7,167.4,9618,Mortality,5652404,All Races,Male and Female,All Cancer Sites Combined,2004,166.8,173.6,170.2
Arizona,161.0,167.5,164.2,9820,Mortality,5839077,All Races,Male and Female,All Cancer Sites Combined,2005,164.9,171.5,168.2
Arizona,156.9,163.2,160.0,9918,Mortality,6029141,All Races,Male and Female,All Cancer Sites Combined,2006,161.3,167.8,164.5
Arizona,155.7,161.9,158.8,10133,Mortality,6167681,All Races,Male and Female,All Cancer Sites Combined,2007,161.1,167.5,164.3
Arizona,150.2,156.2,153.2,10081,Mortality,6280362,All Races,Male and Female,All Cancer Sites Combined,2008,157.4,163.7,160.5
Arizona,149.0,155.0,152.0,10271,Mortality,6343154,All Races,Male and Female,All Cancer Sites Combined,2009,158.8,165.1,161.9
Arizona,149.7,155.6,152.6,10678,Mortality,6408312,All Races,Male and Female,All Cancer Sites Combined,2010,163.5,169.8,166.6
Arizona,145.6,151.3,148.4,10690,Mortality,6467163,All Races,Male and Female,All Cancer Sites Combined,2011,162.2,168.5,165.3
Arizona,145.4,151.0,148.2,11085,Mortality,6549634,All Races,Male and Female,All Cancer Sites Combined,2012,166.1,172.4,169.2
Arizona,143.9,149.4,146.7,11347,Mortality,6624617,All Races,Male and Female,All Cancer Sites Combined,2013,168.1,174.5,171.3
Arizona,139.8,145.1,142.5,11455,Mortality,6719993,All Races,Male and Female,All Cancer Sites Combined,2014,167.4,173.6,170.5
Arizona,138.5,143.7,141.1,11776,Mortality,6817565,All Races,Male and Female,All Cancer Sites Combined,2015,169.6,175.9,172.7
Arkansas,208.6,219.3,213.9,6137,Mortality,2651860,All Races,Male and Female,All Cancer Sites Combined,1999,225.7,237.3,231.4
Arkansas,204.3,214.9,209.6,6090,Mortality,2678588,All Races,Male and Female,All Cancer Sites Combined,2000,221.7,233.1,227.4
Arkansas,203.3,213.9,208.6,6091,Mortality,2691571,All Races,Male and Female,All Cancer Sites Combined,2001,220.7,232.1,226.3
Arkansas,207.5,218.1,212.7,6282,Mortality,2705927,All Races,Male and Female,All Cancer Sites Combined,2002,226.5,238.0,232.2
Arkansas,199.9,210.2,205.0,6119,Mortality,2724816,All Races,Male and Female,All Cancer Sites Combined,2003,219.0,230.3,224.6
Arkansas,203.2,213.6,208.3,6304,Mortality,2749686,All Races,Male and Female,All Cancer Sites Combined,2004,223.6,235.0,229.3
Arkansas,202.4,212.7,207.5,6361,Mortality,2781097,All Races,Male and Female,All Cancer Sites Combined,2005,223.1,234.4,228.7
Arkansas,191.7,201.6,196.6,6177,Mortality,2821761,All Races,Male and Female,All Cancer Sites Combined,2006,213.5,224.4,218.9
Arkansas,196.1,206.0,201.0,6388,Mortality,2848650,All Races,Male and Female,All Cancer Sites Combined,2007,218.8,229.8,224.2
Arkansas,196.2,206.0,201.1,6526,Mortality,2874554,All Races,Male and Female,All Cancer Sites Combined,2008,221.6,232.6,227.0
Arkansas,193.2,203.0,198.0,6513,Mortality,2896843,All Races,Male and Female,All Cancer Sites Combined,2009,219.4,230.4,224.8
Arkansas,189.0,198.5,193.7,6475,Mortality,2921995,All Races,Male and Female,All Cancer Sites Combined,2010,216.2,227.1,221.6
Arkansas,186.5,196.0,191.2,6497,Mortality,2939493,All Races,Male and Female,All Cancer Sites Combined,2011,215.7,226.5,221.0
