country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,39.7,42.4,43.4,41.8,45.7,47.0,49.6,49.1,51.8,48.9,50.7,51.9,49.4,53.2,53.7,53.7,53.5,51.8,56.1,48.6,54.0,48.6,46.5,48.8,47.5,50.8,49.6,48.3
Czech Rep.,7.6,7.0,7.0,6.8,7.7,8.6,10.4,10.5,10.6,10.0,9.5,10.7,11.2,11.2,11.7,12.7,12.8,11.6,12.6,11.5,11.6,12.6,11.0,12.0,12.7,13.5,13.2,15.5
France,120.2,127.0,124.7,116.5,113.6,118.3,123.7,122.7,132.5,134.0,135.9,134.5,135.8,137.0,140.0,142.9,140.4,136.1,137.6,132.1,131.0,125.9,124.7,124.4,114.3,115.7,117.3,120.1
Germany,167.0,180.9,187.7,189.5,193.1,195.3,208.5,209.2,213.8,203.4,205.4,216.7,209.4,210.4,213.8,211.3,218.5,199.9,210.1,197.6,203.9,199.3,199.2,207.0,196.0,198.4,207.1,210.6
Italy,131.6,130.9,133.5,127.3,126.3,134.4,133.9,133.9,139.7,143.3,152.5,147.0,152.2,154.8,158.4,159.5,162.9,157.7,155.3,141.3,148.5,141.3,132.0,123.2,115.0,121.4,121.3,125.2
Netherlands,19.1,15.6,15.3,14.5,18.8,18.2,16.6,25.4,26.9,28.9,36.3,34.1,34.0,39.0,33.1,38.8,39.2,39.1,35.0,35.8,31.3,29.6,29.8,25.3,30.5,47.5,44.2,50.6
Poland,1.3,1.4,1.9,3.0,0.7,0.1,6.1,6.8,8.2,9.3,9.6,9.5,10.1,12.1,13.4,16.4,19.6,25.0,30.3,30.2,32.0,34.5,30.8,25.8,27.8,28.7,30.9,40.7
Portugal,15.3,15.3,16.7,16.0,16.3,18.1,16.9,18.5,20.0,22.5,22.1,22.0,22.6,22.5,22.8,24.5,22.3,21.7,21.8,20.9,18.7,18.9,18.2,16.9,16.4,18.5,17.1,18.8
Romania,22.0,14.5,13.7,12.3,11.0,14.3,14.7,14.6,11.7,7.6,7.9,9.6,9.2,9.9,11.5,10.5,11.6,12.5,10.9,6.9,7.5,7.6,7.9,5.9,5.3,5.4,7.1,7.6
Spain,60.3,63.1,67.3,64.3,69.2,76.4,74.7,81.0,88.6,95.1,100.1,100.6,108.7,109.7,115.9,124.6,124.6,123.8,123.1,110.7,106.9,105.2,100.5,90.1,92.0,95.4,94.8,101.7
Sweden,17.5,16.9,16.9,17.5,19.6,18.5,20.3,18.8,18.9,17.2,18.3,18.3,20.0,22.8,20.4,20.2,19.8,19.0,19.7,17.7,19.7,18.8,15.3,16.6,16.3,14.6,16.6,13.8
