country,year,renew_share
Belgium,1990,1.67
Czech Rep.,1990,2.32
France,1990,14.1
Germany,1990,3.9
Italy,1990,17.71
Netherlands,1990,1.12
Poland,1990,2.47
Portugal,1990,35.08
Romania,1990,17.74
Spain,1990,17.61
Sweden,1990,51.18
United Kingdom,1990,2.44
Norway,1990,99.79
Turkey,1990,40.37
Kazakhstan,1990,8.43
Russia,1990,15.34
Ukraine,1990,3.59
Uzbekistan,1990,11.8
Canada,1990,62.39
United States,1990,11.96
Argentina,1990,35.78
Brazil,1990,94.5
Chile,1990,53.84
Colombia,1990,76.38
Mexico,1990,24.69
Venezuela,1990,62.34
China,1990,20.41
India,1990,24.49
Indonesia,1990,20.92
Japan,1990,12.16
Malaysia,1990,17.33
South Korea,1990,6.04
Taiwan,1990,9.08
Thailand,1990,11.26
Australia,1990,10.08
New Zealand,1990,80.01
Algeria,1990,0.78
Egypt,1990,23.5
Nigeria,1990,32.59
South Africa,1990,1.7
Iran,1990,10.29
Kuwait,1990,0
Saudi Arabia,1990,0
United Arab Emirates,1990,0
Belgium,1991,1.79
Czech Rep.,1991,2.18
France,1991,13.97
Germany,1991,3.85
Italy,1991,22.05
Netherlands,1991,1.26
Poland,1991,2.59
Portugal,1991,33.45
Romania,1991,25.68
Spain,1991,18.52
Sweden,1991,44.46
United Kingdom,1991,2.12
Norway,1991,99.8
Turkey,1991,37.85
Kazakhstan,1991,8.37
Russia,1991,15.69
Ukraine,1991,4.28
Uzbekistan,1991,11.13
Canada,1991,61.42
United States,1991,11.33
Argentina,1991,30.74
Brazil,1991,94.63
Chile,1991,70.97
Colombia,1991,75.68
Mexico,1991,22.39
Venezuela,1991,70.33
China,1991,18.47
India,1991,22.81
Indonesia,1991,20.56
Japan,1991,12.86
Malaysia,1991,16.6
South Korea,1991,4.4
Taiwan,1991,5.56
Thailand,1991,9.14
Australia,1991,10.76
New Zealand,1991,77.19
Algeria,1991,1.58
Egypt,1991,22.35
Nigeria,1991,41.86
South Africa,1991,2.25
Iran,1991,11
Kuwait,1991,0
Saudi Arabia,1991,0
United Arab Emirates,1991,0
Belgium,1992,1.98
Czech Rep.,1992,2.76
France,1992,16.12
Germany,1992,4.38
Italy,1992,21.81
Netherlands,1992,1.29
Poland,1992,2.77
Portugal,1992,19.83
Romania,1992,21.59
Spain,1992,13.62
Sweden,1992,52.51
United Kingdom,1992,2.52
Norway,1992,99.82
Turkey,1992,39.63
Kazakhstan,1992,8.3
Russia,1992,17.05
Ukraine,1992,3.2
Uzbekistan,1992,12.34
Canada,1992,61.69
United States,1992,10.48
Argentina,1992,35.13
Brazil,1992,94.42
Chile,1992,82.69
Colombia,1992,68.67
Mexico,1992,25.66
Venezuela,1992,70.09
China,1992,17.58
India,1992,20.75
Indonesia,1992,23.84
Japan,1992,11.04
Malaysia,1992,14.87
South Korea,1992,3.86
Taiwan,1992,7.92
Thailand,1992,7.42
Australia,1992,10.3
New Zealand,1992,72.59
Algeria,1992,1.02
Egypt,1992,21.24
Nigeria,1992,40.85
South Africa,1992,1.24
Iran,1992,13.88
Kuwait,1992,0
Saudi Arabia,1992,0
United Arab Emirates,1992,0
Belgium,1993,1.8
Czech Rep.,1993,2.98
France,1993,14.79
Germany,1993,4.62
Italy,1993,21.67
Netherlands,1993,1.43
Poland,1993,2.72
Portugal,1993,30.94
Romania,1993,23.02
Spain,1993,16.89
Sweden,1993,53.11
United Kingdom,1993,2.21
Norway,1993,99.8
Turkey,1993,46.18
Kazakhstan,1993,9.85
Russia,1993,18.23
Ukraine,1993,4.89
Uzbekistan,1993,14.97
Canada,1993,61.73
United States,1993,11
Argentina,1993,39.22
Brazil,1993,95.25
Chile,1993,81.66
Colombia,1993,73.25
Mexico,1993,25.4
Venezuela,1993,68.43
China,1993,18.13
India,1993,19.56
Indonesia,1993,19.78
Japan,1993,12.62
Malaysia,1993,14.03
South Korea,1993,4.15
Taiwan,1993,5.83
Thailand,1993,5.84
Australia,1993,10.78
New Zealand,1993,77.02
Algeria,1993,1.71
Egypt,1993,21.94
Nigeria,1993,38.41
South Africa,1993,0.85
Iran,1993,12.89
Kuwait,1993,0
Saudi Arabia,1993,0
United Arab Emirates,1993,0
Belgium,1994,1.99
Czech Rep.,1994,3.57
France,1994,17.45
Germany,1994,5.18
Italy,1994,22.14
Netherlands,1994,1.58
Poland,1994,2.83
Portugal,1994,37.24
Romania,1994,23.66
Spain,1994,18.54
Sweden,1994,43.17
United Kingdom,1994,2.58
Norway,1994,99.65
Turkey,1994,39.22
Kazakhstan,1994,13.82
Russia,1994,20.1
Ukraine,1994,6.07
Uzbekistan,1994,14.97
Canada,1994,60.41
United States,1994,10.31
Argentina,1994,42.87
Brazil,1994,95.41
Chile,1994,74.27
Colombia,1994,78.49
Mexico,1994,19.02
Venezuela,1994,72.01
China,1994,18.09
India,1994,21.22
Indonesia,1994,15.66
Japan,1994,8.93
Malaysia,1994,16.69
South Korea,1994,2.51
Taiwan,1994,7.13
Thailand,1994,6.34
Australia,1994,10.35
New Zealand,1994,82.05
Algeria,1994,0.78
Egypt,1994,22.25
Nigeria,1994,35.81
South Africa,1994,1.43
Iran,1994,9.09
Kuwait,1994,0
Saudi Arabia,1994,0
United Arab Emirates,1994,0
Belgium,1995,2.1
Czech Rep.,1995,4.4
France,1995,15.89
Germany,1995,5.66
Italy,1995,18.88
Netherlands,1995,1.73
Poland,1995,2.82
Portugal,1995,28.56
Romania,1995,28.17
Spain,1995,15.48
Sweden,1995,47.6
United Kingdom,1995,2.52
Norway,1995,99.66
Turkey,1995,41.57
Kazakhstan,1995,12.5
Russia,1995,20.52
Ukraine,1995,5.23
Uzbekistan,1995,13.04
Canada,1995,61.01
United States,1995,11.39
Argentina,1995,40.35
Brazil,1995,94.16
Chile,1995,72.41
Colombia,1995,76.4
Mexico,1995,23.65
Venezuela,1995,70.05
China,1995,19.21
India,1995,17.26
Indonesia,1995,16.46
Japan,1995,10.41
Malaysia,1995,13.69
South Korea,1995,3.12
Taiwan,1995,6.67
Thailand,1995,8.74
Australia,1995,9.81
New Zealand,1995,83.85
Algeria,1995,0.92
Egypt,1995,21.95
Nigeria,1995,34.68
South Africa,1995,0.97
Iran,1995,8.58
Kuwait,1995,0
Saudi Arabia,1995,0
United Arab Emirates,1995,0
Belgium,1996,2
Czech Rep.,1996,4.19
France,1996,14.16
Germany,1996,5.62
Italy,1996,20.97
Netherlands,1996,2.13
Poland,1996,2.82
Portugal,1996,46.02
Romania,1996,25.68
Spain,1996,24.27
Sweden,1996,38.42
United Kingdom,1996,2.06
Norway,1996,99.5
Turkey,1996,42.94
Kazakhstan,1996,12.42
Russia,1996,18.23
Ukraine,1996,4.83
Uzbekistan,1996,14.37
Canada,1996,63.11
United States,1996,12.2
Argentina,1996,33.47
Brazil,1996,93.56
Chile,1996,60.45
Colombia,1996,82.99
Mexico,1996,24.66
Venezuela,1996,71.24
China,1996,17.55
India,1996,15.77
Indonesia,1996,15.53
Japan,1996,10.1
Malaysia,1996,10.09
South Korea,1996,2.73
Taiwan,1996,6.37
Thailand,1996,9.13
Australia,1996,9.39
New Zealand,1996,79.06
Algeria,1996,0.62
Egypt,1996,20.96
Nigeria,1996,33.86
South Africa,1996,1.78
Iran,1996,8.13
Kuwait,1996,0
Saudi Arabia,1996,0
United Arab Emirates,1996,0
Belgium,1997,1.98
Czech Rep.,1997,3.98
