year,geo_name,geo,income_below_poverty,pop_poverty_status,income_below_poverty,income_below_poverty_moe,pop_poverty_status,pop_poverty_status_moe
2014,"Los Angeles County, CA","05000US06037",1805870.0,9819400.0,1805870.0,15906.0,9819400.0,3827.0
2015,"Los Angeles County, CA","05000US06037",1800260.0,9886130.0,1800260.0,14598.0,9886130.0,3427.0
2013,"Los Angeles County, CA","05000US06037",1737220.0,9738370.0,1737220.0,16693.0,9738370.0,3163.0
2014,"Cook County, IL","05000US17031",886261.0,5145840.0,886261.0,9592.0,5145840.0,2064.0
2015,"Cook County, IL","05000US17031",879499.0,5152020.0,879499.0,10464.0,5152020.0,1948.0
2013,"Cook County, IL","05000US17031",868652.0,5133180.0,868652.0,9812.0,5133180.0,2022.0
2014,"Harris County, TX","05000US48201",778703.0,4225240.0,778703.0,13913.0,4225240.0,2303.0
2015,"Harris County, TX","05000US48201",774568.0,4312200.0,774568.0,10211.0,4312200.0,2294.0
2013,"Harris County, TX","05000US48201",765948.0,4139330.0,765948.0,11580.0,4139330.0,2204.0
2015,"Maricopa County, AZ","05000US04013",673527.0,3965550.0,673527.0,10409.0,3965550.0,1899.0
2014,"Maricopa County, AZ","05000US04013",666748.0,3895960.0,666748.0,10561.0,3895960.0,2278.0
2013,"Maricopa County, AZ","05000US04013",639233.0,3839010.0,639233.0,9490.0,3839010.0,1688.0
2015,"Kings County, NY","05000US36047",597404.0,2574150.0,597404.0,8266.0,2574150.0,1448.0
2014,"Kings County, NY","05000US36047",595531.0,2549010.0,595531.0,6969.0,2549010.0,1547.0
2013,"Kings County, NY","05000US36047",583378.0,2519470.0,583378.0,8882.0,2519470.0,1422.0
2015,"Miami-Dade County, FL","05000US12086",530006.0,2598560.0,530006.0,10347.0,2598560.0,1875.0
2014,"Miami-Dade County, FL","05000US12086",524382.0,2557260.0,524382.0,9586.0,2557260.0,1569.0
2013,"Miami-Dade County, FL","05000US12086",498751.0,2502560.0,498751.0,9412.0,2502560.0,1484.0
2015,"Dallas County, TX","05000US48113",472926.0,2454370.0,472926.0,9526.0,2454370.0,1526.0
2014,"Dallas County, TX","05000US48113",467347.0,2417680.0,467347.0,8417.0,2417680.0,1635.0
2014,"San Diego County, CA","05000US06073",455855.0,3102460.0,455855.0,8748.0,3102460.0,2317.0
2013,"Dallas County, TX","05000US48113",454926.0,2380740.0,454926.0,8226.0,2380740.0,1414.0
2015,"San Diego County, CA","05000US06073",454876.0,3143200.0,454876.0,9006.0,3143200.0,2532.0
2013,"San Diego County, CA","05000US06073",441648.0,3057310.0,441648.0,8222.0,3057310.0,1961.0
2015,"Wayne County, MI","05000US26163",440449.0,1759390.0,440449.0,6616.0,1759390.0,1230.0
2014,"Wayne County, MI","05000US26163",438295.0,1770600.0,438295.0,6416.0,1770600.0,891.0
2013,"Wayne County, MI","05000US26163",437561.0,1784140.0,437561.0,6778.0,1784140.0,1047.0
2015,"Bronx County, NY","05000US36005",427574.0,1392600.0,427574.0,6515.0,1392600.0,1302.0
2014,"Bronx County, NY","05000US36005",419580.0,1377200.0,419580.0,7513.0,1377200.0,1596.0
2013,"Bronx County, NY","05000US36005",405465.0,1360490.0,405465.0,7488.0,1360490.0,1346.0
2014,"Philadelphia County, PA","05000US42101",401219.0,1503860.0,401219.0,7916.0,1503860.0,2359.0
2015,"Philadelphia County, PA","05000US42101",399352.0,1512390.0,399352.0,7166.0,1512390.0,2042.0
2015,"San Bernardino County, CA","05000US06071",397766.0,2041780.0,397766.0,9083.0,2041780.0,2621.0
2013,"Philadelphia County, PA","05000US42101",395789.0,1494160.0,395789.0,7354.0,1494160.0,2033.0
2015,"Orange County, CA","05000US06059",395483.0,3078520.0,395483.0,8304.0,3078520.0,1623.0
2014,"Orange County, CA","05000US06059",391705.0,3049290.0,391705.0,7700.0,3049290.0,2022.0
2014,"San Bernardino County, CA","05000US06071",389037.0,2029260.0,389037.0,8542.0,2029260.0,2985.0
2015,"Riverside County, CA","05000US06065",379985.0,2262800.0,379985.0,8192.0,2262800.0,1506.0
2014,"Riverside County, CA","05000US06065",376737.0,2232370.0,376737.0,8134.0,2232370.0,1497.0
2013,"San Bernardino County, CA","05000US06071",375280.0,2010190.0,375280.0,9341.0,2010190.0,2675.0
2013,"Orange County, CA","05000US06059",373049.0,3014420.0,373049.0,8132.0,3014420.0,1652.0
2013,"Riverside County, CA","05000US06065",355511.0,2193760.0,355511.0,8424.0,2193760.0,1426.0
2014,"Queens County, NY","05000US36081",344920.0,2255880.0,344920.0,7321.0,2255880.0,1307.0
2015,"Queens County, NY","05000US36081",343834.0,2275820.0,343834.0,6824.0,2275820.0,1332.0
2013,"Queens County, NY","05000US36081",333910.0,2232710.0,333910.0,7747.0,2232710.0,1022.0
2015,"Clark County, NV","05000US32003",315358.0,2010480.0,315358.0,5973.0,2010480.0,1137.0
2014,"Bexar County, TX","05000US48029",312307.0,1752200.0,312307.0,6872.0,1752200.0,2195.0
2015,"Bexar County, TX","05000US48029",312088.0,1790970.0,312088.0,7145.0,1790970.0,1965.0
2014,"Clark County, NV","05000US32003",311679.0,1979100.0,311679.0,7713.0,1979100.0,1240.0
2013,"Bexar County, TX","05000US48029",302559.0,1715250.0,302559.0,6597.0,1715250.0,1600.0
2013,"Clark County, NV","05000US32003",295724.0,1952210.0,295724.0,6731.0,1952210.0,1247.0
2014,"Tarrant County, TX","05000US48439",284626.0,1856800.0,284626.0,7534.0,1856800.0,1157.0
2015,"New York County, NY","05000US36061",283590.0,1582880.0,283590.0,6808.0,1582880.0,1998.0
2015,"Tarrant County, TX","05000US48439",283264.0,1889100.0,283264.0,6705.0,1889100.0,1255.0
2014,"New York County, NY","05000US36061",278958.0,1572360.0,278958.0,7101.0,1572360.0,2128.0
2015,"Hidalgo County, TX","05000US48215",277104.0,809092.0,277104.0,6815.0,809092.0,729.0
2013,"Tarrant County, TX","05000US48439",276852.0,1824000.0,276852.0,7195.0,1824000.0,1282.0
2013,"New York County, NY","05000US36061",276148.0,1559120.0,276148.0,6455.0,1559120.0,2567.0
2014,"Hidalgo County, TX","05000US48215",275717.0,797048.0,275717.0,7151.0,797048.0,793.0
2013,"Hidalgo County, TX","05000US48215",272065.0,782134.0,272065.0,6197.0,782134.0,990.0
2015,"Broward County, FL","05000US12011",265880.0,1827520.0,265880.0,6443.0,1827520.0,989.0
2014,"Broward County, FL","05000US12011",263443.0,1800090.0,263443.0,5699.0,1800090.0,1147.0
2015,"Sacramento County, CA","05000US06067",262251.0,1444720.0,262251.0,5937.0,1444720.0,1498.0
2014,"Sacramento County, CA","05000US06067",258031.0,1427010.0,258031.0,6196.0,1427010.0,1484.0
2014,"Fresno County, CA","05000US06019",255019.0,931998.0,255019.0,5197.0,931998.0,1033.0
2015,"Fresno County, CA","05000US06019",252187.0,939536.0,252187.0,6484.0,939536.0,855.0
2013,"Broward County, FL","05000US12011",252152.0,1769330.0,252152.0,6021.0,1769330.0,1107.0
2013,"Sacramento County, CA","05000US06067",248304.0,1410860.0,248304.0,5596.0,1410860.0,1414.0
2013,"Fresno County, CA","05000US06019",239584.0,922739.0,239584.0,5967.0,922739.0,863.0
2014,"King County, WA","05000US53033",233458.0,1979790.0,233458.0,6133.0,1979790.0,1425.0
2015,"Cuyahoga County, OH","05000US39035",231823.0,1236840.0,231823.0,4265.0,1236840.0,971.0
2014,"Cuyahoga County, OH","05000US39035",230111.0,1241330.0,230111.0,4175.0,1241330.0,1237.0
2013,"Cuyahoga County, OH","05000US39035",228497.0,1246300.0,228497.0,4441.0,1246300.0,1115.0
2015,"King County, WA","05000US53033",226204.0,2016520.0,226204.0,5788.0,2016520.0,1092.0
2013,"King County, WA","05000US53033",222813.0,1945420.0,222813.0,5734.0,1945420.0,1239.0
2015,"Hillsborough County, FL","05000US12057",217684.0,1282680.0,217684.0,6114.0,1282680.0,1305.0
2014,"Hillsborough County, FL","05000US12057",216127.0,1259730.0,216127.0,5347.0,1259730.0,1260.0
2015,"Orange County, FL","05000US12095",212489.0,1196720.0,212489.0,6623.0,1196720.0,2633.0
2014,"Franklin County, OH","05000US39049",210472.0,1170640.0,210472.0,5237.0,1170640.0,1398.0
2013,"Franklin County, OH","05000US39049",208639.0,1155600.0,208639.0,5260.0,1155600.0,1368.0
2013,"Hillsborough County, FL","05000US12057",208532.0,1238650.0,208532.0,5577.0,1238650.0,1039.0
2015,"Franklin County, OH","05000US39049",208422.0,1188080.0,208422.0,5288.0,1188080.0,1143.0
2014,"Orange County, FL","05000US12095",207658.0,1169710.0,207658.0,7085.0,1169710.0,2707.0
2014,"Milwaukee County, WI","05000US55079",203926.0,931401.0,203926.0,4751.0,931401.0,1153.0
2015,"Milwaukee County, WI","05000US55079",201124.0,934073.0,201124.0,3778.0,934073.0,865.0
2013,"Milwaukee County, WI","05000US55079",200497.0,928764.0,200497.0,4286.0,928764.0,993.0
2015,"Palm Beach County, FL","05000US12099",197340.0,1359990.0,197340.0,5385.0,1359990.0,1102.0
2014,"Alameda County, CA","05000US06001",197191.0,1531350.0,197191.0,4256.0,1531350.0,1609.0
2015,"Shelby County, TN","05000US47157",196471.0,919879.0,196471.0,4661.0,919879.0,997.0
2015,"Kern County, CA","05000US06029",195744.0,834229.0,195744.0,5648.0,834229.0,1692.0
2014,"Shelby County, TN","05000US47157",195530.0,918198.0,195530.0,4461.0,918198.0,1373.0
2013,"Orange County, FL","05000US12095",195229.0,1147560.0,195229.0,6158.0,1147560.0,2497.0
2014,"Palm Beach County, FL","05000US12099",195174.0,1340580.0,195174.0,5756.0,1340580.0,1070.0
2015,"Alameda County, CA","05000US06001",194639.0,1557090.0,194639.0,4389.0,1557090.0,1090.0
2014,"Kern County, CA","05000US06029",192972.0,824972.0,192972.0,5008.0,824972.0,1548.0
2013,"Palm Beach County, FL","05000US12099",192034.0,1321040.0,192034.0,4983.0,1321040.0,890.0
2015,"Marion County, IN","05000US18097",191309.0,907057.0,191309.0,5507.0,907057.0,1178.0
2013,"Shelby County, TN","05000US47157",190295.0,914228.0,190295.0,5286.0,914228.0,1040.0
2014,"El Paso County, TX","05000US48141",189586.0,809165.0,189586.0,5383.0,809165.0,886.0
2014,"Marion County, IN","05000US18097",189127.0,900000.0,189127.0,4126.0,900000.0,1193.0
2013,"Alameda County, CA","05000US06001",188501.0,1507580.0,188501.0,4931.0,1507580.0,1141.0
2014,"Travis County, TX","05000US48453",187574.0,1070710.0,187574.0,4857.0,1070710.0,2038.0
2015,"Pima County, AZ","05000US04019",187250.0,972309.0,187250.0,4697.0,972309.0,1329.0
2013,"Kern County, CA","05000US06029",186811.0,814695.0,186811.0,5002.0,814695.0,1442.0
