year,geo_name,geo,total_reimbursements_b
2012,"Kenedy County","05000US48261",28231.0
2013,"Trego County","05000US20195",18543.0
2010,"St. Helena Parish","05000US22091",18443.0
2014,"Trego County","05000US20195",18390.0
2013,"Kenedy County","05000US48261",17596.0
2011,"Kenedy County","05000US48261",17166.0
2012,"Wallace County","05000US20199",17041.0
2011,"Trego County","05000US20195",17011.0
2012,"Lincoln County","05000US20105",16930.0
2010,"Washington Parish","05000US22117",16323.0
2011,"Jim Hogg County","05000US48247",16292.0
2011,"Washington Parish","05000US22117",16128.0
2014,"Duval County","05000US48131",15986.0
2012,"Jim Wells County","05000US48249",15966.0
2014,"Jim Hogg County","05000US48247",15947.0
2012,"St. Helena Parish","05000US22091",15883.0
2013,"Jim Hogg County","05000US48247",15837.0
2012,"Washington Parish","05000US22117",15775.0
2011,"Collingsworth County","05000US48087",15688.0
2010,"Evangeline Parish","05000US22039",15675.0
2010,"Zapata County","05000US48505",15659.0
2012,"Collingsworth County","05000US48087",15638.0
2010,"Hancock County","05000US47067",15598.0
2013,"Cumberland County","05000US21057",15586.0
2011,"Caldwell Parish","05000US22021",15536.0
2011,"Hancock County","05000US47067",15491.0
2012,"Trego County","05000US20195",15402.0
2011,"Evangeline Parish","05000US22039",15352.0
2012,"Jim Hogg County","05000US48247",15328.0
2012,"Cumberland County","05000US21057",15320.0
2011,"Jim Wells County","05000US48249",15269.0
2011,"Tangipahoa Parish, LA","05000US22105",15256.0
2014,"Kenedy County","05000US48261",15237.0
2011,"Lincoln County","05000US20105",15208.0
2010,"Faulk County","05000US46049",15195.0
2010,"Choctaw County","05000US40023",15183.0
2012,"Brooks County","05000US48047",15151.0
2011,"Faulk County","05000US46049",15123.0
2011,"St. Helena Parish","05000US22091",15109.0
2013,"Lincoln County","05000US20105",15101.0
2010,"Jim Hogg County","05000US48247",15094.0
2012,"Evangeline Parish","05000US22039",15092.0
2010,"Jim Wells County","05000US48249",15077.0
2014,"Red River Parish","05000US22081",15070.0
2010,"Caldwell Parish","05000US22021",15046.0
2014,"Lincoln County","05000US20105",15045.0
2013,"Jim Wells County","05000US48249",15042.0
2011,"Duval County","05000US48131",15016.0
2010,"Leslie County","05000US21131",15007.0
2012,"Hancock County","05000US47067",14983.0
2010,"Collingsworth County","05000US48087",14983.0
2013,"Brooks County","05000US48047",14884.0
2013,"St. Helena Parish","05000US22091",14872.0
2014,"Cumberland County","05000US21057",14836.0
2010,"Duval County","05000US48131",14809.0
2011,"Brooks County","05000US48047",14805.0
2010,"Lynn County","05000US48305",14801.0
2010,"Brooks County","05000US48047",14800.0
2013,"Duval County","05000US48131",14797.0
2012,"Claiborne County","05000US28021",14790.0
2014,"St. Bernard Parish","05000US22087",14787.0
2010,"Starr County","05000US48427",14777.0
2014,"St. Helena Parish","05000US22091",14720.0
2011,"Miami-Dade County, FL","05000US12086",14700.0
2012,"Tangipahoa Parish, LA","05000US22105",14674.0
2012,"Caldwell Parish","05000US22021",14635.0
2014,"Brooks County","05000US48047",14605.0
2012,"Choctaw County","05000US40023",14597.0
2012,"Duval County","05000US48131",14589.0
2014,"Caldwell Parish","05000US22021",14557.0
2012,"Knott County","05000US21119",14540.0
2011,"LaSalle Parish","05000US22059",14499.0
2013,"Caldwell Parish","05000US22021",14477.0
2010,"Miami-Dade County, FL","05000US12086",14448.0
2010,"Cumberland County","05000US21057",14430.0
2013,"Red River Parish","05000US22081",14372.0
2012,"Miami-Dade County, FL","05000US12086",14370.0
2013,"Evangeline Parish","05000US22039",14369.0
2012,"Winn Parish","05000US22127",14358.0
2010,"Tangipahoa Parish, LA","05000US22105",14345.0
2011,"Clay County","05000US21051",14344.0
2012,"Buffalo County","05000US46017",14329.0
2014,"Lanier County","05000US13173",14328.0
2014,"Jim Wells County","05000US48249",14325.0
2013,"Miami-Dade County, FL","05000US12086",14321.0
2014,"Washington Parish","05000US22117",14310.0
2013,"Hartley County","05000US48205",14306.0
2011,"Cumberland County","05000US21057",14291.0
2013,"Hancock County","05000US47067",14280.0
2011,"Lake County","05000US47095",14272.0
2013,"Washington Parish","05000US22117",14268.0
2010,"LaSalle Parish","05000US22059",14267.0
2012,"Faulk County","05000US46049",14191.0
2010,"Claiborne County","05000US28021",14171.0
2014,"Clinch County","05000US13065",14153.0
2010,"Franklin Parish","05000US22041",14138.0
2012,"Leslie County","05000US21131",14104.0
2010,"Schleicher County","05000US48413",14101.0
2012,"LaSalle Parish","05000US22059",14100.0
2014,"Miami-Dade County, FL","05000US12086",14097.0
2010,"Winn Parish","05000US22127",14043.0
2014,"Tangipahoa Parish, LA","05000US22105",14041.0
2011,"Okeechobee County","05000US12093",14017.0
2012,"Coal County","05000US40029",14014.0
2011,"Choctaw County","05000US40023",14001.0
2012,"Clay County","05000US21051",13995.0
2014,"Logan County","05000US20109",13995.0
2012,"Red River Parish","05000US22081",13975.0
2011,"Atoka County","05000US40005",13948.0
2013,"Choctaw County","05000US40023",13942.0
2011,"Johnston County","05000US40069",13937.0
2011,"Houston County","05000US47083",13913.0
2011,"Gallatin County","05000US21077",13912.0
2012,"Throckmorton County","05000US48447",13910.0
2014,"Evangeline Parish","05000US22039",13897.0
2012,"Stonewall County","05000US48433",13882.0
2013,"Tangipahoa Parish, LA","05000US22105",13871.0
2010,"Clay County","05000US21051",13865.0
2011,"Claiborne County","05000US28021",13863.0
2013,"Franklin County","05000US21073",13856.0
2012,"Okeechobee County","05000US12093",13854.0
2013,"Franklin Parish","05000US22041",13851.0
2013,"Claiborne County","05000US28021",13851.0
2011,"Casey County","05000US21045",13843.0
2013,"Lake County","05000US47095",13842.0
2012,"Gallatin County","05000US21077",13837.0
2010,"Phillips County","05000US08095",13832.0
2010,"Norton city","05000US51720",13824.0
2012,"Sunflower County","05000US28133",13823.0
2012,"Clinch County","05000US13065",13814.0
2010,"Perry County","05000US21193",13799.0
2010,"Madison Parish","05000US22065",13782.0
2011,"Leslie County","05000US21131",13776.0
2010,"Scott County","05000US47151",13756.0
2010,"Avoyelles Parish","05000US22009",13742.0
2011,"Scioto County","05000US39145",13741.0
2014,"Kent County","05000US48263",13741.0
2010,"Willacy County","05000US48489",13730.0
2010,"Okeechobee County","05000US12093",13715.0
2010,"Harmon County","05000US40057",13706.0
2014,"Scioto County","05000US39145",13702.0
2014,"Coal County","05000US40029",13689.0
2010,"Vernon Parish","05000US22115",13681.0
2012,"Lake County","05000US47095",13677.0
2014,"Atoka County","05000US40005",13676.0
2014,"LaSalle Parish","05000US22059",13674.0
2011,"Charlton County","05000US13049",13673.0
2010,"Bryan County","05000US40013",13655.0
2011,"West Carroll Parish","05000US22123",13652.0
2011,"Scott County","05000US47151",13648.0
2010,"Hidalgo County, TX","05000US48215",13648.0
2011,"Knott County","05000US21119",13641.0
2012,"Scott County","05000US20171",13637.0
2012,"Avoyelles Parish","05000US22009",13613.0
2011,"Avoyelles Parish","05000US22009",13613.0
2014,"Choctaw County","05000US40023",13608.0
2014,"Borden County","05000US48033",13593.0
2014,"Starr County","05000US48427",13588.0
2010,"Stone County","05000US28131",13571.0
2011,"Stone County","05000US28131",13562.0
2014,"Franklin County","05000US21073",13562.0
2010,"Knott County","05000US21119",13560.0
2010,"Owen County","05000US21187",13558.0
2014,"Lake County","05000US47095",13558.0
2014,"Scotland County","05000US29199",13549.0
2012,"East Carroll Parish","05000US22035",13536.0
2011,"Grant Parish","05000US22043",13530.0
2010,"Clarke County","05000US28023",13525.0
2012,"Fentress County","05000US47049",13507.0
2011,"East Carroll Parish","05000US22035",13507.0
2014,"Leslie County","05000US21131",13500.0
2011,"Slope County","05000US38087",13498.0
2012,"Casey County","05000US21045",13489.0
2011,"McCurtain County","05000US40089",13473.0
2010,"East Carroll Parish","05000US22035",13467.0
2011,"Vernon Parish","05000US22115",13459.0
2010,"Casey County","05000US21045",13459.0
2010,"Trego County","05000US20195",13446.0
2013,"Hardeman County","05000US48197",13440.0
2014,"Sheridan County","05000US20179",13440.0
2014,"Richland Parish","05000US22083",13430.0
2011,"Bienville Parish","05000US22013",13420.0
2010,"Jack County","05000US48237",13419.0
2011,"Phillips County","05000US08095",13418.0
2012,"Jackson Parish","05000US22049",13413.0
2012,"West Carroll Parish","05000US22123",13405.0
2014,"Lane County","05000US20101",13397.0
2012,"Liberty County","05000US48291",13392.0
2010,"Green County","05000US21087",13392.0
2010,"Wichita County","05000US20203",13390.0
2011,"Starr County","05000US48427",13385.0
2014,"Scott County","05000US47151",13367.0
