,SourceNmae,TargetName,SourceID,TargetID,CosSim
0,Belgium,Thailand,0,33,0.8919531962091923
1,Belgium,Argentina,0,20,0.8730645610237558
2,Belgium,France,0,2,0.8525551710628185
3,Czech Rep.,Uzbekistan,1,17,0.9680814297220279
4,Czech Rep.,Taiwan,1,32,0.9424646131025378
5,Czech Rep.,Kazakhstan,1,14,0.9384995193283018
6,France,Belgium,2,0,0.8525551710628185
7,France,Argentina,2,20,0.805793125710843
8,France,Germany,2,3,0.7543373930578362
9,Germany,Turkey,3,13,0.9363848337489891
10,Germany,Spain,3,9,0.9066416168002439
11,Germany,Italy,3,4,0.8872823614455181
12,Italy,Spain,4,9,0.9608717698107447
13,Italy,United Kingdom,4,11,0.9195301117041028
14,Italy,Romania,4,8,0.9008193764674733
15,Netherlands,Malaysia,5,30,0.914341843115384
16,Netherlands,Egypt,5,37,0.9055981188715913
17,Netherlands,Argentina,5,20,0.8988340023604672
18,Poland,Czech Rep.,6,1,0.93371922507674
19,Poland,Australia,6,34,0.9162588553296792
20,Poland,Malaysia,6,30,0.9101332351392256
21,Portugal,Romania,7,8,1.0
22,Portugal,Chile,7,22,0.9720606228147803
23,Portugal,Spain,7,9,0.948362647917982
24,Romania,Portugal,8,7,1.0
25,Romania,Chile,8,22,0.959460909339783
26,Romania,Spain,8,9,0.9442933478849955
27,Spain,Italy,9,4,0.9608717698107447
28,Spain,Portugal,9,7,0.948362647917982
29,Spain,Romania,9,8,0.9442933478849955
30,Sweden,New Zealand,10,35,0.947552623557223
31,Sweden,Norway,10,12,0.8663651241462267
32,Sweden,Brazil,10,21,0.8359321543973887
33,United Kingdom,Italy,11,4,0.9195301117041028
34,United Kingdom,Venezuela,11,25,0.8581980634814363
35,United Kingdom,Brazil,11,21,0.8379624739651079
36,Norway,Colombia,12,23,0.9301582454858361
37,Norway,Brazil,12,21,0.9225556004231156
38,Norway,Venezuela,12,25,0.9039507270933208
39,Turkey,Germany,13,3,0.9363848337489891
40,Turkey,Spain,13,9,0.9022134183519728
41,Turkey,Chile,13,22,0.8936979396838687
42,Kazakhstan,South Africa,14,39,0.9637636993889624
43,Kazakhstan,Taiwan,14,32,0.9551544469447086
44,Kazakhstan,Czech Rep.,14,1,0.9384995193283018
45,Russia,Iran,15,40,0.7917295729583342
46,Russia,United Arab Emirates,15,43,0.6716739754232177
47,Russia,United States,15,19,0.6554230487473901
48,Ukraine,Taiwan,16,32,0.9516509865008748
49,Ukraine,Uzbekistan,16,17,0.9506466293707496
50,Ukraine,South Korea,16,31,0.8926338226462001
51,Uzbekistan,Czech Rep.,17,1,0.9680814297220279
52,Uzbekistan,Taiwan,17,32,0.9519299751569168
53,Uzbekistan,Ukraine,17,16,0.9506466293707496
54,Canada,Mexico,18,24,0.8829242943747535
55,Canada,Argentina,18,20,0.8761307191723413
56,Canada,Belgium,18,0,0.7181414024890844
57,United States,Russia,19,15,0.6554230487473901
58,United States,Saudi Arabia,19,42,0.1317598844988753
59,United States,Iran,19,40,0.10222725428978265
60,Argentina,Netherlands,20,5,0.8988340023604672
61,Argentina,Canada,20,18,0.8761307191723413
62,Argentina,Belgium,20,0,0.8730645610237558
63,Brazil,Venezuela,21,25,0.9649763910531259
64,Brazil,Norway,21,12,0.9225556004231156
65,Brazil,New Zealand,21,35,0.8550647169119334
66,Chile,Portugal,22,7,0.9720606228147803
67,Chile,Romania,22,8,0.959460909339783
68,Chile,Spain,22,9,0.9318830566506705
69,Colombia,Norway,23,12,0.9301582454858361
70,Colombia,Venezuela,23,25,0.8739632054140511
71,Colombia,Brazil,23,21,0.8467008471887756
72,Mexico,Canada,24,18,0.8829242943747535
