country,2012,2013,2014,2015,2016,2017
Belgium,14.18,15.57,18.42,22.03,17.37,18.65
Czech Rep.,10.06,11.75,11.87,12.75,12.69,12.45
France,15.56,17.79,17.32,16.59,18.45,17.56
Germany,23.75,24.76,26.82,29.88,30.02,33.98
Italy,31.48,39.31,43.74,38.99,37.53,35.74
Netherlands,12.11,11.98,11.32,12.44,12.80,14.84
Poland,10.67,10.71,12.82,14.12,14.02,15.48
Portugal,43.78,59.24,61.37,48.67,55.44,39.75
Romania,25.74,34.81,42.03,40.09,43.75,38.70
Spain,30.44,40.47,40.92,35.70,39.35,32.17
Sweden,59.10,54.07,55.87,63.29,57.02,57.53
United Kingdom,12.15,15.68,19.95,25.45,25.31,30.16
Norway,97.97,97.71,97.67,97.73,97.87,97.87
Turkey,27.23,28.82,20.89,31.96,32.92,29.46
Kazakhstan,8.23,7.51,7.88,8.87,10.72,9.47
Russia,15.68,17.29,16.72,16.01,17.45,17.51
Ukraine,5.91,8.12,6.02,5.30,6.66,7.86
Uzbekistan,21.35,21.33,21.35,20.65,20.20,19.77
Canada,63.24,63.30,62.83,63.02,64.08,64.71
United States,12.41,13.03,13.36,13.63,15.42,17.66
Argentina,29.49,31.68,31.79,28.38,25.60,28.23
Brazil,82.45,76.69,73.08,73.97,80.96,79.71
Chile,36.45,35.67,42.41,43.60,39.08,44.50
Colombia,79.55,74.00,74.04,68.24,72.11,86.78
Mexico,13.79,13.30,17.54,15.39,15.36,16.56
Venezuela,67.41,67.83,68.26,63.70,57.60,63.33
China,20.12,20.45,22.79,24.13,25.40,25.97
India,15.73,17.35,16.25,15.34,15.49,16.29
Indonesia,11.24,12.27,11.48,10.65,12.64,12.32
Japan,11.87,12.77,14.48,16.48,16.50,17.79
Malaysia,7.38,8.58,9.71,9.96,11.02,12.35
South Korea,2.02,2.38,2.47,2.54,2.93,3.36
Taiwan,4.81,4.95,4.44,4.67,5.46,5.24
Thailand,8.39,8.28,8.51,8.54,9.73,11.86
Australia,10.61,13.30,14.92,13.67,15.78,14.95
New Zealand,71.87,74.26,79.20,80.08,84.17,81.39
Algeria,1.00,0.51,0.36,0.29,0.38,0.62
Egypt,8.88,8.88,8.87,8.26,8.32,8.45
Nigeria,19.71,18.44,17.59,18.20,18.20,18.21
South Africa,1.76,1.73,2.51,3.40,3.96,4.17
Iran,4.99,5.71,5.20,5.10,5.72,5.14
Kuwait,0.00,0.00,0.00,0.00,0.00,0.00
Saudi Arabia,0.00,0.00,0.00,0.00,0.00,0.00
United Arab Emirates,0.00,0.09,0.26,0.23,0.22,0.57
