country,year,value,type
Belgium,1990,0.317,co2_intensity
Czech Rep.,1990,0.66,co2_intensity
France,1990,0.19,co2_intensity
Germany,1990,0.351,co2_intensity
Italy,1990,0.207,co2_intensity
Netherlands,1990,0.321,co2_intensity
Poland,1990,0.894,co2_intensity
Portugal,1990,0.176,co2_intensity
Romania,1990,0.572,co2_intensity
Spain,1990,0.209,co2_intensity
Sweden,1990,0.189,co2_intensity
United Kingdom,1990,0.333,co2_intensity
Norway,1990,0.157,co2_intensity
Turkey,1990,0.209,co2_intensity
Kazakhstan,1990,1.041,co2_intensity
Russia,1990,0.729,co2_intensity
Ukraine,1990,1.14,co2_intensity
Uzbekistan,1990,1.735,co2_intensity
Canada,1990,0.48,co2_intensity
United States,1990,0.493,co2_intensity
Argentina,1990,0.268,co2_intensity
Brazil,1990,0.117,co2_intensity
Chile,1990,0.248,co2_intensity
Colombia,1990,0.168,co2_intensity
Mexico,1990,0.236,co2_intensity
Venezuela,1990,0.146,co2_intensity
China,1990,1.219,co2_intensity
India,1990,0.322,co2_intensity
Indonesia,1990,0.165,co2_intensity
Japan,1990,0.255,co2_intensity
Malaysia,1990,0.248,co2_intensity
South Korea,1990,0.486,co2_intensity
Taiwan,1990,0.658,co2_intensity
Thailand,1990,0.202,co2_intensity
Australia,1990,0.523,co2_intensity
New Zealand,1990,0.245,co2_intensity
Algeria,1990,0.188,co2_intensity
Egypt,1990,0.217,co2_intensity
Nigeria,1990,0.092,co2_intensity
South Africa,1990,0.655,co2_intensity
Iran,1990,0.298,co2_intensity
Kuwait,1990,0.274,co2_intensity
Saudi Arabia,1990,0.211,co2_intensity
United Arab Emirates,1990,0.237,co2_intensity
Belgium,1991,0.324,co2_intensity
Czech Rep.,1991,0.69,co2_intensity
France,1991,0.201,co2_intensity
Germany,1991,0.328,co2_intensity
Italy,1991,0.205,co2_intensity
Netherlands,1991,0.326,co2_intensity
Poland,1991,0.947,co2_intensity
Portugal,1991,0.175,co2_intensity
Romania,1991,0.547,co2_intensity
Spain,1991,0.212,co2_intensity
Sweden,1991,0.192,co2_intensity
United Kingdom,1991,0.343,co2_intensity
Norway,1991,0.145,co2_intensity
Turkey,1991,0.212,co2_intensity
Kazakhstan,1991,1.203,co2_intensity
Russia,1991,0.77,co2_intensity
Ukraine,1991,1.189,co2_intensity
Uzbekistan,1991,1.802,co2_intensity
Canada,1991,0.483,co2_intensity
United States,1991,0.488,co2_intensity
Argentina,1991,0.249,co2_intensity
Brazil,1991,0.118,co2_intensity
Chile,1991,0.219,co2_intensity
Colombia,1991,0.17,co2_intensity
Mexico,1991,0.243,co2_intensity
Venezuela,1991,0.132,co2_intensity
China,1991,1.172,co2_intensity
India,1991,0.343,co2_intensity
Indonesia,1991,0.168,co2_intensity
Japan,1991,0.248,co2_intensity
Malaysia,1991,0.273,co2_intensity
South Korea,1991,0.484,co2_intensity
Taiwan,1991,0.661,co2_intensity
Thailand,1991,0.207,co2_intensity
Australia,1991,0.526,co2_intensity
New Zealand,1991,0.254,co2_intensity
Algeria,1991,0.205,co2_intensity
Egypt,1991,0.211,co2_intensity
Nigeria,1991,0.11,co2_intensity
South Africa,1991,0.651,co2_intensity
Iran,1991,0.293,co2_intensity
Kuwait,1991,0.129,co2_intensity
Saudi Arabia,1991,0.191,co2_intensity
United Arab Emirates,1991,0.268,co2_intensity
Belgium,1992,0.317,co2_intensity
Czech Rep.,1992,0.666,co2_intensity
France,1992,0.193,co2_intensity
Germany,1992,0.308,co2_intensity
Italy,1992,0.203,co2_intensity
Netherlands,1992,0.317,co2_intensity
Poland,1992,0.906,co2_intensity
Portugal,1992,0.19,co2_intensity
Romania,1992,0.556,co2_intensity
Spain,1992,0.22,co2_intensity
Sweden,1992,0.196,co2_intensity
United Kingdom,1992,0.338,co2_intensity
Norway,1992,0.155,co2_intensity
Turkey,1992,0.208,co2_intensity
Kazakhstan,1992,1.302,co2_intensity
Russia,1992,0.838,co2_intensity
Ukraine,1992,1.13,co2_intensity
Uzbekistan,1992,1.892,co2_intensity
Canada,1992,0.493,co2_intensity
United States,1992,0.479,co2_intensity
Argentina,1992,0.229,co2_intensity
Brazil,1992,0.122,co2_intensity
Chile,1992,0.205,co2_intensity
Colombia,1992,0.168,co2_intensity
Mexico,1992,0.237,co2_intensity
Venezuela,1992,0.127,co2_intensity
China,1992,1.066,co2_intensity
India,1992,0.343,co2_intensity
